Title,Authors,Year,Publication,Citations,ScholarURL
Creazione artistica e decreazione: Per un’estetica del silenzio,,2025,"Lebenswelt. Aesthetics and philosophy of experience., 2025",0,
""" The theme interacts with language"": some examples of the influence of Wittgenstein on contemporary music",,2024,"Rivista Italiana di Filosofia del Linguaggio, 2024",0,
"Forma, verità e interpretazione. Vattimo, Eco e la lezione di Pareyson",,2024,"Forum. Supplement to Acta Philosophica 10, 43-57, 2024",0,
"L'elefante e il poeta: mistica, estetica, psicoanalisi",,2024,"Mimesis, 2024",0,
L’elefante e il poeta. Lacan lettore di Angelus Silesius,,2023,"L’inconscio. Rivista Italiana di Filosofia e Psicoanalisi, 117, 2023",0,
The Seminar as an Aesthetic-Linguistic Practice,,2022,"Rivista Italiana di Filosofia del Linguaggio 16 (2), 2022",0,
"Mistica, psicoanalisi, antifilosofia: sul rapporto tra amore e sapere",,2022,"L’inconscio. Rivista Italiana di Filosofia e Psicoanalisi, 91, 2022",0,
Aesthetic and Linguistic Practices,,2022,"RIVISTA ITALIANA DI FILOSOFIA DEL LINGUAGGIO 16 (2), 1-91, 2022",0,
Mystical Cinema: inside the World-Language split,,2022,"Aesthetica Preprint, 11-26, 2022",0,
Berio and Eco on the (im) possibility of musical narrativity,,2021,"Rivista Italiana di Filosofia del Linguaggio, 2021",0,
"SG Beardsworth, RE Auxier (a cura di), 2021, La filosofia di Umberto Eco, con la sua Autobiografia intellettuale, ed. it. a cura di AM Lorusso, La nave di Teseo, Milano.",,2021,"Rivista Italiana di Filosofia del Linguaggio 15 (1), 2021",0,
Tra caso e progetto: alea e forme di soggettivazione nelle pratiche artistiche,,2021,"Philosophy Kitchen-Rivista di filosofia contemporanea, 5-11, 2021",0,
Scarica il sommario,,2021,"Philosophy Kitchen-Rivista di filosofia contemporanea, 3-4, 2021",0,
Scarica l'intero fascicolo,,2021,"Philosophy Kitchen-Rivista di filosofia contemporanea, 2021",0,
Intervista a Mauro Folci,,2021,"Philosophy Kitchen-Rivista di filosofia contemporanea, 81-97, 2021",0,
Alea. Artistic practices and modes of subjectivation,,2021,"Philosophy kitchen, 2021",0,
"Alea. Pratiche artistiche e modi di soggettivazione, Philosophy Kitchen, Rivista di filosofia contemporanea.",,2021,"PHILOSOPHY KITCHEN, 1-250, 2021",0,
